Type,product,Attributes,Total Fat,Sodium,Sugars
Crackers,Julie's Crackers - Butter,Per Serving (25g),8g,140mg,2g
Crackers,Julie's Veggie Crackers,Per Serving (23g),6g,140mg,1g
Crackers,Ritz Crackers Box - Original,Per Serving (19g),5g,130mg,1g
Crackers,Hup Seng Crackers - Cream,Per Serving (31g),7g,180mg,1g
Crackers,Hup Seng Crackers - Sugar,Per Serving (22.5g),3g,140mg,4g
Crackers,Munchy's Crackers - Cream,Per Serving (100g),19g,510mg,2g
Crackers,FairPrice Cream Crackers - Special,Per Serving (100g),22.8g,419mg,13.9g
Crackers,FairPrice Cream Crackers,Per Serving (100g),21.5g,367mg,1.6g
Crackers,Munchy's Crackers - Sugar,Per Serving (30g),6g,160mg,4g
Crackers,Khong Guan Crackers - Cream,Per Serving (26g),4g,215mg,1g
Crackers,Haitai Crackers - Original,Per Serving (25g),7g,90g,2g
Crackers,Julie's Crackers - Wheat,Per Serving (25g),8g,160mg,1g
Crackers,Hup Seng Crackers - Cream (Special),Per Serving (22.5g),6g,100mg,1g
Crackers,Lee Cream Crackers,Per Serving (100g),21g,710mg,3g
Crackers,Munchy's Lexus Sandwich Calcium Crackers - Vegetable,Per Serving (100g),24g,437mg,13g
Crackers,Khong Guan Crackers - Family,Per Serving (36g),9g,190mg,1g
Crackers,Haitai Crackers - Almond,Per Serving (22g),6g,70g,4g
Crackers,Hup Seng Crackers - Wholemeal,Per Serving (22.5g),6g,100mg,1g
Crackers,Khong Guan Biscuits - Sultana,Per Serving (30g),4g,85mg,11g
Crackers,Munchy's Crackers - Vegetables,Per Serving (100g),18g,500mg,2g
