,product,Attributes,Energy,Protein,Fat,Saturated Fat,Trans Fat,Monosaturated Fat,Polyunsaturated Fat,Cholesterol,Carbohydrate,      Sugars,Dietary Fibre,Sodium,Calories,Calories from Fat,Total Fat,Sugars,Sodium ,Monounsaturated Fat,Salt,type
0,Arnott's Tim Tam Biscuits - Original,Per Serving (18.3g),399kJ,0.8g,,2.7g,,,,,11.8g,,0.3g,29mg,,,4.9g,8.2g,,,,cream
1,Cowhead Sandwich Crackers with Calcium - Milk,Per Serving (24g),,2g,,3g,0g,,,0mg,16g,,0.5g,110mg,120g,,6g,6g,,,,cream
2,Jack 'n Jill Dewberry Sandwich Biscuits - Blueberry,Per Serving (36g),185kcal,2.1g,9.9g,3.8g,0.0g,5mg,21.8g,0.7g,183mg,12.6g,,,,,,,,,,cream
3,Jack 'n Jill Dewberry Sandwich Biscuits - Strawberry,Per Serving (36g),175kcal,2.2g,,4.4g,0g,,,6mg,23.8g,,0.7g,100mg,,,7.9g,12g,,,,cream
4,Julie's Le-Mond Sandwich Biscuits - Lemon,Per Serving (17g),83kcal,0.3g,,1.4g,0.3g,,,2.1g,0.2mg,,96mg,0g,,,3.9g,10.6g,,,,cream
5,Julie's Sandwich Biscuits - Cheese,Per Serving (28g),,2g,,3.5g,0g,,,0mg,18g,,0g,115mg,150kcal,70kcal,8g,5g,,,,cream
6,Julie's Sandwich Biscuits - Peanut Butter,Per Serving (30g),,3g,,3g,0g,,,0mg,18g,,0g,85mg,160cal,70g,8g,6g,,,,cream
7,Khong Guan Sandwich Biscuits - Banana ,Per Serving (30g),,,0mg,9g,5g,0g,85mg,18g,,6g,2g,cream,,,,,,,,cream
8,Khong Guan Sandwich Biscuits - Custard,Per Serving (30g),160cal,70cal,0mg,8g,4g,0g,75mg,19g,0g,5g,2g,cream,,,,,,,,cream
9,Khong Guan Sandwich Biscuits - Lemon Puff,Per Serving (22g),,1g,,3g,0g,,,0mg,13g,,4g,,116kcal,54kcal,6g,,117mg,,,cream
